Polylines2D,Position X,Position Y
356,-743.418058258149,239.090047361664
357,-747.368058258149,239.390047361664
358,-744.76805825815,239.390047361664
359,-744.46805825815,239.090047361664
360,-744.46805825815,237.190047361663
361,-744.76805825815,236.890047361663
362,-747.368058258149,236.890047361663
363,-747.668058258149,237.190047361663
364,-747.668058258149,239.090047361664
365,-751.618058258149,239.390047361664
366,-749.01805825815,239.390047361664
367,-748.71805825815,239.090047361664
368,-748.71805825815,237.190047361663
369,-749.01805825815,236.890047361663
370,-751.618058258149,236.890047361663
371,-751.918058258149,237.190047361663
372,-751.918058258149,239.090047361664
373,-755.868058258149,239.390047361664
374,-753.26805825815,239.390047361664
375,-752.96805825815,239.090047361664
376,-752.96805825815,237.190047361663
377,-753.26805825815,236.890047361663
378,-755.868058258149,236.890047361663
379,-756.168058258149,237.190047361663
380,-756.168058258149,239.090047361664
381,-760.118058258149,239.390047361664
382,-757.51805825815,239.390047361664
383,-757.21805825815,239.090047361664
384,-757.21805825815,237.190047361663
385,-757.51805825815,236.890047361663
386,-760.118058258149,236.890047361663
387,-760.418058258149,237.190047361663
388,-760.418058258149,239.090047361664
389,-764.368058258149,239.390047361664
390,-761.76805825815,239.390047361664
391,-761.46805825815,239.090047361664
392,-761.46805825815,237.190047361663
393,-761.76805825815,236.890047361663
394,-764.368058258149,236.890047361663
395,-764.668058258149,237.190047361663
396,-764.668058258149,239.090047361664
397,-768.618058258149,239.390047361664
398,-766.01805825815,239.390047361664
399,-765.71805825815,239.090047361664
400,-765.71805825815,237.190047361663
401,-766.01805825815,236.890047361663
402,-768.618058258149,236.890047361663
403,-768.918058258149,237.190047361663
404,-768.918058258149,239.090047361664
405,-768.618058258149,235.840047361664
406,-766.01805825815,235.840047361664
407,-765.71805825815,235.540047361664
408,-765.71805825815,233.640047361663
409,-766.01805825815,233.340047361663
410,-768.618058258149,233.340047361663
411,-768.918058258149,233.640047361663
412,-768.918058258149,235.540047361664
413,-764.368058258149,235.840047361664
414,-761.76805825815,235.840047361664
415,-761.46805825815,235.540047361664
416,-761.46805825815,233.640047361663
417,-761.76805825815,233.340047361663
418,-764.368058258149,233.340047361663
419,-764.668058258149,233.640047361663
420,-764.668058258149,235.540047361664
421,-760.118058258149,235.840047361664
422,-757.51805825815,235.840047361664
423,-757.21805825815,235.540047361664
424,-757.21805825815,233.640047361663
425,-757.51805825815,233.340047361663
426,-760.118058258149,233.340047361663
427,-760.418058258149,233.640047361663
428,-760.418058258149,235.540047361664
429,-755.868058258149,235.840047361664
430,-753.26805825815,235.840047361664
431,-752.96805825815,235.540047361664
432,-752.96805825815,233.640047361663
433,-753.26805825815,233.340047361663
434,-755.868058258149,233.340047361663
435,-756.168058258149,233.640047361663
436,-756.168058258149,235.540047361664
437,-751.618058258149,235.840047361664
438,-749.01805825815,235.840047361664
439,-748.71805825815,235.540047361664
440,-748.71805825815,233.640047361663
441,-749.01805825815,233.340047361663
442,-751.618058258149,233.340047361663
443,-751.918058258149,233.640047361663
444,-751.918058258149,235.540047361664
445,-747.368058258149,235.840047361664
446,-744.76805825815,235.840047361664
447,-744.46805825815,235.540047361664
448,-744.46805825815,233.640047361663
449,-744.76805825815,233.340047361663
450,-747.368058258149,233.340047361663
451,-747.668058258149,233.640047361663
452,-747.668058258149,235.540047361664
453,-743.118058258149,235.840047361664
454,-740.51805825815,235.840047361664
455,-740.21805825815,235.540047361664
456,-740.21805825815,233.640047361663
457,-740.51805825815,233.340047361663
458,-743.118058258149,233.340047361663
459,-743.418058258149,233.640047361663
460,-743.418058258149,235.540047361664
461,-738.868058258149,235.840047361664
462,-736.26805825815,235.840047361664
463,-735.96805825815,235.540047361664
464,-735.96805825815,233.640047361663
465,-736.26805825815,233.340047361663
466,-738.868058258149,233.340047361663
467,-739.168058258149,233.640047361663
468,-739.168058258149,235.540047361664
469,-734.618058258149,235.840047361664
470,-732.01805825815,235.840047361664
471,-731.71805825815,235.540047361664
472,-731.71805825815,233.640047361663
473,-732.01805825815,233.340047361663
474,-734.618058258149,233.340047361663
475,-734.918058258149,233.640047361663
476,-734.918058258149,235.540047361664
477,-730.368058258149,235.840047361664
478,-727.76805825815,235.840047361664
479,-727.46805825815,235.540047361664
480,-727.46805825815,233.640047361663
481,-727.76805825815,233.340047361663
482,-730.368058258149,233.340047361663
483,-730.668058258149,233.640047361663
484,-730.668058258149,235.540047361664
485,-726.118058258149,235.840047361664
486,-723.51805825815,235.840047361664
487,-723.21805825815,235.540047361664
488,-723.21805825815,233.640047361663
489,-723.51805825815,233.340047361663
490,-726.118058258149,233.340047361663
491,-726.418058258149,233.640047361663
492,-726.418058258149,235.540047361664
493,-721.868058258149,235.840047361664
